1	0	39	2
2	187	60	2
3	471	12	4
4	537	14	3
5	611	7	2
6	648	52	4
7	900	39	4
8	1097	68	4
9	1420	3	1
10	1439	12	4
11	1511	6	2
12	1548	3	2
13	1570	2	2
14	1586	1	1
15	1596	8	3
16	1643	8	3
17	1692	6	2
18	1730	15	4
19	1815	19	4
20	1919	6	2
21	1956	4	3
22	1984	18	3
23	2084	7	2
24	2124	1	1
25	2134	11	3
26	2200	1	1
27	2210	29	4
28	2362	5	2
29	2395	3	2
30	2417	1	1
31	2427	14	4
32	2504	4	1
33	2530	10	2
34	2584	5	1
35	2614	1	1
36	2624	35	4
37	2804	2	2
38	2820	1	1
39	2830	9	3
40	2881	1	1
41	2891	1	1
42	2901	1	1
43	2911	2	1
44	2926	1	1
45	2936	5	4
46	2968	3	1
47	2988	2	1
48	3002	11	4
49	3064	5	3
50	3095	1	1
51	3105	16	4
52	3196	1	1
53	3206	9	3
54	3259	2	2
55	3275	57	4
56	3555	3	2
57	3577	2	1
58	3593	2	2
59	3609	2	2
60	3624	1	1
61	3634	1	1
62	3644	12	3
63	3713	1	1
64	3724	1	1
65	3735	1	1
66	3746	1	1
67	3757	1	1
68	3768	8	4
69	3818	2	1
70	3835	2	2
71	3852	3	2
72	3874	4	2
73	3903	2	2
74	3920	2	2
75	3937	1	1
76	3948	1	1
77	3959	1	1
78	3970	1	1
79	3981	4	3
80	4008	6	3
81	4047	2	1
82	4064	1	1
83	4075	3	3
84	4098	1	1
85	4109	3	2
86	4131	4	2
87	4159	2	1
88	4176	7	2
89	4220	2	2
90	4236	5	3
91	4270	2	2
92	4287	1	1
93	4298	3	3
94	4321	1	1
95	4332	1	1
96	4343	3	2
97	4366	13	2
98	4437	3	2
99	4460	3	2
100	4482	3	2
101	4506	1	1
102	4518	2	2
103	4536	2	2
104	4554	14	2
105	4631	6	3
106	4671	1	1
107	4683	2	2
108	4701	2	2
109	4719	5	3
110	4752	3	2
111	4776	4	2
112	4804	12	2
113	4873	2	1
114	4891	5	2
115	4925	2	2
116	4943	1	1
117	4955	27	4
118	5098	2	2
119	5116	2	2
120	5134	3	2
121	5158	1	1
122	5170	1	1
123	5182	3	2
124	5205	3	1
125	5226	13	3
126	5301	3	1
127	5324	2	2
128	5342	3	2
129	5364	1	1
130	5376	1	1
131	5388	1	1
132	5400	1	1
133	5412	1	1
134	5424	2	2
135	5442	2	1
136	5459	6	2
137	5496	3	2
138	5520	3	3
139	5543	1	1
140	5555	3	3
141	5579	12	3
142	5647	1	1
143	5659	1	1
144	5671	1	1
145	5683	1	1
146	5695	10	3
147	5751	2	2
148	5769	7	2
149	5811	15	3
150	5897	1	1
151	5909	1	1
152	5921	1	1
153	5933	4	3
154	5963	8	3
155	6014	3	2
156	6037	2	2
157	6054	2	1
158	6071	2	1
159	6088	1	1
160	6100	5	3
161	6134	2	2
162	6152	1	1
163	6164	1	1
164	6176	1	1
165	6188	1	1
166	6200	2	2
167	6218	3	2
168	6241	3	2
169	6265	2	2
170	6283	1	1
171	6295	4	2
172	6321	1	1
173	6333	1	1
174	6345	1	1
175	6357	1	1
176	6369	1	1
177	6381	1	1
178	6393	1	1
179	6405	1	1
180	6417	1	1
181	6429	1	1
182	6441	1	1
183	6453	1	1
184	6465	1	1
185	6477	1	1
186	6489	5	4
187	6523	6	4
188	6561	3	2
189	6583	4	3
190	6610	4	2
191	6638	1	1
192	6650	3	2
193	6672	1	1
194	6684	3	2
195	6707	1	1
196	6719	5	3
197	6753	1	1
198	6765	1	1
199	6777	3	2
200	6801	6	3
201	6840	2	2
202	6857	1	1
203	6869	1	1
204	6881	4	2
205	6910	1	1
206	6922	1	1
207	6934	1	1
208	6946	6	1
209	6979	3	1
210	6999	1	1
211	7009	2	1
212	7023	2	1
213	7037	4	1
214	7061	9	2
215	7108	1	1
216	7119	11	3
217	7181	1	1
218	7192	5	2
219	7221	2	1
220	7237	4	3
221	7264	2	2
222	7280	1	1
223	7291	8	3
224	7340	5	1
225	7369	3	2
226	7391	3	1
227	7412	1	1
228	7423	1	1
229	7434	9	2
230	7485	3	2
231	7508	1	1
232	7519	6	2
233	7557	1	1
234	7568	1	1
235	7579	1	1
236	7590	2	2
237	7607	2	2
238	7624	4	2
239	7652	1	1
240	7663	1	1
241	7674	1	1
242	7685	4	2
243	7713	2	2
244	7731	3	3
245	7755	1	1
246	7767	1	1
247	7779	1	1
248	7791	2	2
249	7809	3	2
250	7833	1	1
251	7845	2	1
252	7861	5	3
253	7895	1	1
254	7907	1	1
255	7919	5	3
256	7953	5	2
257	7988	1	1
258	8000	7	3
259	8044	5	2
260	8076	3	2
261	8099	4	3
262	8129	3	3
263	8153	4	1
264	8180	3	1
265	8201	7	2
266	8243	1	1
267	8254	1	1
268	8265	8	1
269	8310	1	1
270	8321	1	1
271	8332	2	2
272	8349	1	1
273	8360	1	1
274	8371	1	1
