1	0	6943	595
2	34859	30010	322
3	167730	55388	3117
4	450816	40948	749
5	622106	4064	641
6	644186	134563	3331
7	1296025	18398	2427
8	1392483	263323	3371
9	2607501	703	346
10	2611842	31089	2562
11	2776027	16747	2397
12	2866433	6758	1409
13	2905664	608	299
14	2909362	2520	776
15	2923941	11116	1885
16	2986218	25229	2539
17	3121723	4803	1236
18	3149157	56154	3190
19	3439190	31176	2503
20	3596887	2768	653
21	3612733	4034	1267
22	3635867	33890	2456
23	3814853	1831	361
24	3825124	182	114
25	3826381	9429	1753
26	3879102	936	359
27	3884721	117535	3310
28	4457838	1236	476
29	4465323	548	127
30	4468428	1689	304
31	4476653	32614	2828
32	4650906	1506	631
33	4659815	1528	225
34	4668048	2756	257
35	4682287	324	217
36	4684415	94218	3250
37	5157604	3194	869
38	5176292	2073	845
39	5187805	23147	2271
40	5311671	2697	582
41	5326612	593	222
42	5330128	63	44
43	5330570	3265	915
44	5350213	3202	1193
45	5369371	25468	2626
46	5505972	1519	105
47	5513767	643	166
48	5517462	20248	2505
49	5627295	7192	1481
50	5668998	693	350
51	5673448	46020	3070
52	5913441	880	244
53	5918578	22334	2560
54	6039248	2652	974
55	6054658	156806	3336
56	6813277	445	212
57	6816073	152	67
58	6817056	5969	1621
59	6851862	9175	825
60	6899291	305	178
61	6901256	2605	575
62	6915947	9971	1894
63	6972663	674	377
64	6976897	595	234
65	6980584	526	295
66	6983905	491	239
67	6987208	553	92
68	6990222	14809	2272
69	7074042	15	12
70	7074159	788	314
71	7078947	442	200
72	7081643	1360	508
73	7089729	282	123
74	7091492	1998	813
75	7103607	448	178
76	7106348	236	125
77	7107850	119	76
78	7108649	166	98
79	7109731	4501	1128
80	7134859	8317	1932
81	7181135	157	99
82	7182201	607	325
83	7186169	5927	294
84	7211793	39	35
85	7212100	1242	555
86	7219688	522	188
87	7222738	898	473
88	7228464	13838	736
89	7288534	2126	1000
90	7301402	15117	2191
91	7385431	719	366
92	7389911	2973	653
93	7406031	4833	1394
94	7432743	243	121
95	7434273	470	158
96	7437156	2220	501
97	7450226	1885	369
98	7460439	1262	364
99	7467636	1155	208
100	7473945	71	48
101	7474453	646	314
102	7478480	103	54
103	7479135	4164	698
104	7502730	4155	1464
105	7526738	1373	364
106	7533995	81	49
107	7534544	679	257
108	7538548	217	107
109	7539904	11290	2564
110	7603495	3555	935
111	7623749	606	257
112	7627446	7182	1584
113	7665232	1465	565
114	7673825	891	255
115	7678957	361	247
116	7681367	116	99
117	7682179	94364	3279
118	8154164	1998	636
119	8165596	29	23
120	8165809	2180	549
121	8177935	746	414
122	8182749	68	18
123	8183188	1582	697
124	8192968	2654	883
125	8208896	16502	2218
126	8300484	1754	668
127	8310695	79	59
128	8311250	3699	1354
129	8332728	8257	1829
130	8379692	392	263
131	8382261	53	37
132	8382648	606	391
133	8386600	893	396
134	8391840	1117	397
135	8398667	264	150
136	8400389	235	118
137	8401893	6931	1586
138	8441573	5577	1444
139	8474067	3386	1101
140	8494141	3206	650
141	8511560	1963	584
142	8523022	82	54
143	8523593	6919	1521
144	8562397	6525	1672
145	8599289	147	80
146	8600202	7335	2011
147	8642753	799	333
148	8647642	532	179
149	8650831	45534	2933
150	8887794	4711	1301
151	8915296	577	233
152	8918799	2033	815
153	8930932	6681	1769
154	8969704	13001	2421
155	9037240	1569	630
156	9046690	428	274
157	9049462	540	303
158	9052955	2610	365
159	9065019	9	9
160	9065096	33789	3111
161	9245249	1460	545
162	9254028	565	261
163	9257643	5696	1319
164	9290670	634	331
165	9294736	1092	476
166	9301526	443	255
167	9304420	93	49
168	9305052	821	332
169	9310052	2634	686
170	9324555	1340	503
171	9332817	1432	215
172	9339905	93	68
173	9340564	234	107
174	9342111	1576	379
175	9350613	2036	802
176	9362856	4323	1276
177	9387611	595	280
178	9391364	897	238
179	9396453	257	104
180	9397997	531	203
181	9401224	25	18
182	9401418	1730	212
183	9409643	2127	785
184	9421828	787	394
185	9426705	1695	697
186	9436338	2165	1482
187	9449483	4343	1326
188	9472736	6036	1994
189	9506309	3583	2085
190	9527016	440	312
191	9529831	1773	737
192	9540399	1999	727
193	9552360	1093	438
194	9559135	1763	532
195	9569423	1786	535
196	9578739	5300	1429
197	9609795	562	386
198	9613483	351	207
199	9615748	1344	555
200	9623735	3727	1291
201	9643943	1807	772
202	9654724	1226	590
203	9662091	936	451
204	9667720	11887	1842
205	9731361	1760	548
206	9741710	2722	617
207	9756943	8	8
208	9757016	246	78
209	9758498	6	2
210	9758532	575	390
211	9761728	593	363
212	9765472	4591	1214
213	9791980	3208	958
214	9810602	3034	895
215	9826240	4	4
216	9826271	11720	2138
217	9889536	259	189
218	9891297	2772	818
219	9907120	808	320
220	9912293	1548	640
221	9921124	2065	885
222	9933483	1201	590
223	9940591	24948	2836
224	10074963	875	359
225	10080120	2140	746
226	10092640	10161	2013
227	10150503	281	136
228	10152245	309	213
229	10154327	6758	1169
230	10190075	7905	1326
231	10231907	46	40
232	10232231	6262	1430
233	10266853	4448	1824
234	10290593	884	408
235	10296107	1239	557
236	10303357	6493	1554
237	10341196	2801	898
238	10357525	4223	1228
239	10381905	6518	1498
240	10419713	539	225
241	10422741	36	17
242	10422990	6792	1509
243	10462068	1368	527
244	10470290	12589	1980
245	10538892	791	397
246	10543884	1970	787
247	10555877	101	45
248	10556546	2180	480
249	10568174	1653	372
250	10577054	384	232
251	10579447	1811	828
252	10590021	10013	1337
253	10641936	336	229
254	10644077	128	70
255	10644907	1710	716
256	10654740	9186	2048
257	10705054	1994	933
258	10716965	11393	1785
259	10775757	17000	1925
260	10860766	5698	597
261	10890822	4964	2038
262	10920453	2486	1449
263	10935506	10251	1643
264	10989624	2394	349
265	11002555	4143	1418
266	11026052	2	2
267	11026068	2	2
268	11026084	16	2
269	11026168	1277	472
270	11033188	816	475
271	11038397	2472	806
272	11053033	444	259
273	11055608	240	130
274	11057085	510	257
275	11060143	1095	391
276	11066387	6581	2482
277	11103011	1221	649
278	11109848	1266	579
279	11117124	2	2
280	11117140	2	2
281	11117156	5940	1017
282	11149563	2930	1009
283	11167501	1548	678
284	11176983	627	278
285	11181070	1829	835
286	11192064	817	499
287	11197156	6471	1602
288	11235257	3446	1085
289	11255136	1177	247
290	11261577	2521	886
291	11276417	1761	387
292	11285618	779	204
293	11290043	4374	1287
294	11315594	540	296
295	11319158	1487	440
296	11327540	4629	499
297	11351997	299	204
298	11353990	43343	2243
299	11555295	2699	877
300	11570973	2468	483
301	11585296	4505	1369
302	11612174	2155	864
303	11625497	10597	2082
304	11684681	3129	944
305	11703033	2180	716
306	11715753	2344	634
307	11729465	4	3
308	11729497	56	45
309	11729903	20563	2151
310	11835194	2701	556
311	11850841	4293	1203
312	11874886	994	354
313	11880874	193	109
314	11882113	1416	619
315	11891092	608	154
316	11894557	361	116
317	11896800	397	23
318	11898845	291	79
319	11900579	2035	577
320	11912473	4261	900
321	11935727	484	253
322	11938911	1623	619
323	11948359	194	50
324	11949536	14001	2041
325	12025724	31	22
326	12025944	353	72
327	12027969	194	99
328	12029240	2237	746
329	12043149	2948	987
330	12060892	1971	705
331	12072853	313	130
332	12074744	13111	1885
333	12144462	232	101
334	12145861	3109	501
335	12161856	4065	799
336	12183541	168	71
337	12184579	2811	530
338	12200042	1004	467
339	12206204	311	222
340	12208331	442	155
341	12210885	16080	2037
342	12295486	1973	719
343	12307090	367	172
344	12309377	128	83
345	12310184	2	2
346	12310202	1790	609
347	12321090	1880	737
348	12332192	490	135
349	12334979	844	152
350	12339628	190	59
351	12340739	316	155
352	12342798	597	285
353	12346643	35	28
354	12346919	2179	564
355	12359145	388	171
356	12361639	1642	582
357	12371537	354	241
358	12373853	2083	661
359	12386076	12843	1874
360	12454122	1171	438
361	12460584	311	180
362	12462570	340	102
363	12464589	426	253
364	12467275	131	76
365	12468192	1690	637
366	12478400	3634	1188
367	12500200	308	195
368	12502158	316	47
369	12503860	74	53
370	12504378	15	11
371	12504498	298	205
372	12506542	9321	2117
373	12560254	6372	1749
374	12596747	20	15
375	12596901	10840	1817
376	12657768	746	315
377	12662389	138	94
